id,2023-09-24,2023-09-28,2023-09-29
MLA613347389,24250.0,24250.0,25450.0
MLA928514267,6499.0,6499.0,5999.0
MLA1459718600,28900.0,28900.0,28900.0
MLA1408936132,5443.09,5443.09,5729.57
MLA928509368,5999.0,5999.0,5999.0
MLA1381143477,14298.0,14298.0,14298.0
MLA831715350,5899.0,5899.0,5604.05
MLA615016904,25250.0,25250.0,25250.0
MLA724439778,26450.0,26450.0,28250.0
MLA1377443429,43092.0,43092.0,45480.0
MLA1438874850,13598.0,13598.0,13598.0
MLA668789151,44730.0,44730.0,44730.0
MLA619432986,24800.0,24800.0,24800.0
MLA1130163392,23000.0,23000.0,21283.0
MLA1119468360,22823.75,22823.75,20541.37
MLA648309368,50615.0,50615.0,48965.0
MLA877640526,5224.05,5224.05,5499.0
MLA1130121546,14424.0,14424.0,14424.0
MLA901580052,15375.0,15375.0,15375.0
MLA863200856,8500.0,8500.0,8500.0
MLA614532403,17500.0,17500.0,17500.0
MLA873187440,22450.0,22450.0,24250.0
MLA1274434769,41238.0,41238.0,41238.0
MLA683181055,26250.0,26250.0,26250.0
MLA609018634,20250.0,20250.0,22450.0
MLA821264063,36500.0,36500.0,36500.0
MLA837563639,15250.0,15250.0,16450.0
MLA1384971477,15456.8,15456.8,15456.8
MLA1130169614,12487.0,12487.0,12487.0
MLA1130115974,33613.0,33613.0,33612.8
MLA614532391,38450.0,38450.0,38450.0
MLA1381144819,13590.0,13590.0,13590.0
MLA612779121,24650.0,24650.0,28450.0
MLA1130140213,33613.0,33613.0,31848.0
MLA1130182119,10986.0,10986.0,10986.0
MLA870286739,36500.0,36500.0,36500.0
MLA611012785,21250.0,21250.0,22450.0
MLA896458801,24349.0,24349.0,24349.0
MLA834871886,15457.0,15457.0,15456.8
MLA1169854517,3161.0,3161.0,3161.0
MLA1467871704,25078.0,25078.0,24100.0
MLA818339494,23284.95,23284.95,25613.44
MLA896897107,14658.0,14658.0,12459.0
MLA1130140215,30098.0,30098.0,30098.0
MLA1130121548,23000.0,23000.0,22712.5
MLA821259255,26240.0,26240.0,26240.0
MLA1130169625,23738.0,23738.0,23738.0
MLA826227380,13882.6,13882.6,15270.86
MLA1376819821,15100.0,15100.0,15100.0
MLA774852231,5153.69,5153.69,5153.69
MLA616116585,25250.0,25250.0,28250.0
MLA616682776,17551.0,17551.0,17551.0
MLA1130182118,40613.0,40613.0,40612.8
MLA1144973756,15900.0,15900.0,14628.0
MLA1372241973,68249.0,68249.0,66899.0
