id,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30
MLA1381143477,18848.0,20341.0,21633.0,21633.0,21633.0,20999.0,19362.0,19382.0,19362.0,20999.0,19362.0,20999.0,20999.0,19362.0,20999.0,20889.0,20889.0,20889.0,20999.0,20999.0,20999.0,20999.0,20999.0,20889.0,20889.0,20889.0,20999.0,20889.0,20999.0,20999.0,20999.0
MLA1119468360,29999.0,29999.0,29999.0,29999.0,29999.0,29999.0,28499.05,28499.05,28499.05,28499.05,28499.05,28499.05,28499.05,28499.05,29999.0,29999.0,29999.0,29999.0,29999.0,29999.0,26999.1,35638.81,35638.81,30292.98,30292.98,30292.98,30292.98,30292.98,30292.98,35638.81,35638.81
MLA877640526,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6680.06,6680.06,6680.06,6680.06,6680.06,6680.06,6680.06,6680.06,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67,6886.67
MLA1421868856,8014.65,7543.2,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75,7071.75
MLA1523603594,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,39988.0,31990.0,28391.0,27992.0,27992.0,30290.0,27992.0,28690.0,28690.0,28690.0
MLA1550288930,42999.0,42999.0,42999.0,42999.0,42999.0,42999.0,59999.0,59999.0,59999.0,59999.0,59999.0,59999.0,59999.0,59999.0,59999.0,59999.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0,69199.0
MLA901580052,17584.0,19167.0,17825.0,17825.0,17825.0,17825.0,17308.0,17308.0,17308.0,17308.0,16218.0,16387.0,16387.0,16387.0,16579.0,16579.0,16579.0,16579.0,16579.0,19167.0,25300.0,19067.0,19067.0,19011.0,19011.0,19011.0,19011.0,19011.0,18901.0,18956.0,18956.0
MLA1523051358,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,26496.0,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,27890.4,39988.0,31990.0,28391.0,27992.0,27992.0,30290.0,27992.0,28690.0,28690.0,28690.0
MLA1308110044,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,24695.36,25436.22,25436.22,25436.22,23401.32,23401.32,23401.32,23401.32,23401.32,25944.94,25944.94
MLA928514267,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7359.08,7359.08,7359.08,7359.08,7359.08,7359.08,7359.08,7439.07,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7439.07,7999.0,7999.0
