id,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17
MLA1130140213,40265.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,63969.0,51175.2,51175.2,48936.0,48936.0,51175.2,48936.0
MLA1308110044,25944.94,24128.79,24128.79,24128.79,24128.79,24128.79,24128.79,24128.79,24128.79,24128.79,24128.79,29890.9,31385.45,31385.45,31385.45,31385.45,31385.45,31385.45
MLA1549818034,75529.0,83999.0,83999.0,83999.0,83999.0,89999.0,89999.0,89999.0,89999.0,89999.0,89999.0,89999.0,89999.0,89999.0,109999.0,109999.0,109999.0,109999.0
MLA831715350,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14,8841.14
MLA1394502057,53845.0,53845.0,53845.0,53845.0,53845.0,53845.0,53845.0,68685.0,68685.0,68685.0,68685.0,68685.0,78375.0,78375.0,78375.0,78375.0,78375.0,78375.0
MLA1377443429,57890.0,57890.0,56066.0,57890.0,57890.0,57890.0,55256.0,57890.0,57890.0,57890.0,57890.0,90308.0,69537.16,72246.4,72246.4,72246.4,72246.4,72246.4
MLA928509368,7999.0,7999.0,7999.0,7999.0,7599.05,7599.05,7599.05,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7599.05,7599.05,7599.05
MLA619432986,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,30580.0,35000.0,35000.0,35000.0,35000.0,35000.0
MLA1381143477,20999.0,20887.41,20887.41,20887.41,20887.41,20887.41,20887.41,20723.0,20723.0,20723.0,20887.41,20887.41,33154.62,25466.53,25466.53,25466.53,25466.53,25466.53
MLA901580052,18956.0,19067.0,19067.0,22042.0,19067.0,19067.0,19067.0,24246.0,24246.0,19067.0,19067.0,24246.0,24246.0,31520.0,27917.0,27917.0,27917.0,27917.0
