id,2023-12-31,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
MLA846511675,140819.67,140819.67,140819.67,140819.67,140819.67,140819.67,140819.67,140819.67,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,153064.86,159999.9,161499.9,161499.9,161499.9,161499.9,161499.9,161499.9
MLA1334601222,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,20619.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99,24179.99
MLA720245281,160836.0,160836.0,160836.0,160836.0,160836.0,160836.0,160836.0,160836.0,160836.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0,184962.0
MLA934971614,54369.0,54369.0,54369.0,54369.0,54369.0,54369.0,54369.0,54369.0,54369.0,59805.0,59805.0,59805.0,59805.0,59805.0,59805.0,59805.0,59805.0,59805.0,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75,56814.75
MLA1130268890,18990.5,18990.5,18990.5,18990.5,19990.0,20990.0,20990.0,19940.5,19940.5,19940.5,21990.0,21990.0,21990.0,21990.0,21990.0,21990.0,21990.0,21610.6,21610.6,20691.0,20691.0,20691.0,22990.0,20691.0,20691.0,20691.0,20691.0,20691.0,23490.6,24741.0,24741.0,24741.0
MLA1149526917,161920.0,176184.81,202186.4,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,186012.0,203309.3,203309.3,203309.3,203309.3,203309.3,187045.0,187045.0,187045.0,187045.0,187045.0,187045.0,187045.0,203309.3
MLA1493498696,28000.0,28000.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0,34160.0
MLA734658830,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,279995.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0,304678.0
MLA1149503434,162387.0,176693.52,202771.41,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,186550.0,203894.31,203894.31,203894.31,203894.31,203894.31,187583.0,187583.0,187583.0,187583.0,187583.0,187583.0,187583.0,203894.31
MLA908602062,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,45999.08,45999.08,45999.08,44999.1,44999.1,44999.1,44999.1,44999.1,44999.1,49999.0,49999.0,49999.0,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05,53199.05
