id,2024-01-31,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26
MLA904297273,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,-1.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,39010.0,37059.5,37059.5,37059.5
MLA1389327613,18088.0,18088.0,18088.0,18088.0,18088.0,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6,17183.6
MLA1379172611,15910.6,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3,18510.0,18510.0,18510.0,18510.0,18510.0,18510.0,18510.0,17214.3,17214.3,-1.0,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3,17214.3
MLA1134971409,21375.0,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5,23750.0,23750.0,23750.0,23750.0,23750.0,23750.0,23750.0,22087.5,22087.5,-1.0,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5,22087.5
MLA654524197,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,-1.0,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65,5396.65
MLA1442107710,30020.0,30020.0,30020.0,30020.0,30020.0,30020.0,30020.0,30020.0,30020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,-1.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0,36020.0
MLA1134984780,20665.35,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7,21990.0,21990.0,21990.0,21990.0,21990.0,21990.0,21990.0,20450.7,20450.7,-1.0,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7,20450.7
MLA852277802,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,-1.0,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5,40726.5
MLA1392771273,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0,45990.0
MLA1377286919,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,-1.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0,5999.0
MLA875264792,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,-1.0,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55,46919.55
MLA1437777698,12921.0,12921.0,12921.0,12921.0,12921.0,12921.0,12921.0,12921.0,12921.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,13021.0,12456.0,12456.0
MLA852271584,54738.05,54738.05,54738.05,54738.05,54738.05,57619.0,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,-1.0,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05,54738.05
