id,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
MLA613347389,45250.0,45250.0,45250.0,45250.0,45250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0
MLA1523051358,42890.0,42890.0,42890.0,42890.0,42890.0,42890.0,42890.0,42890.0,42890.0,42890.0,36790.0,36790.0,36790.0,36790.0,36790.0,36790.0,35134.0
MLA1649764198,117515.0,117515.0,117515.0,118170.5,118170.5,118170.5,118170.5,118170.5,118170.5,118170.5,118170.5,124390.0,124390.0,124390.0,124390.0,114438.8,114438.8
MLA1550245348,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,97499.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
MLA1403169287,33999.0,33999.0,33999.0,33999.0,33999.0,33999.0,33999.0,33999.0,37999.0,37999.0,37999.0,37999.0,33999.0,33999.0,33999.0,33999.0,33999.0
MLA1119468360,30000.0,30000.0,30000.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0,27300.0
MLA831715350,9649.0,9649.0,9649.0,9649.0,9649.0,9649.0,9649.0,9649.0,9649.0,9649.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0
MLA1384971477,31657.0,31657.0,31657.0,31657.0,31657.0,31657.0,31657.0,31657.0,31657.0,31657.0,28990.0,28990.0,28990.0,28990.0,28990.0,28990.0,28990.0
MLA1119442535,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,66000.0,49990.0,49990.0
MLA901580052,42920.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,35712.0,43340.0
MLA619432986,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0
MLA620680972,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0
MLA1165521223,22414.74,22414.74,22414.74,21294.0,21294.0,21294.0,21294.0,21294.0,21294.0,21294.0,21294.0,21294.0,18978.01,18978.01,18978.01,18978.01,18978.01
MLA648309368,100998.0,100998.0,100998.0,105691.95,105691.95,105691.95,105691.95,105691.95,105691.95,105691.95,105691.95,105691.95,105691.95,109254.6,109254.6,118755.0,118755.0
MLA683181055,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0
MLA1165547238,23320.62,23320.62,23320.62,22154.58,22154.58,22154.58,22154.58,22154.58,22154.58,12999.0,12999.0,12999.0,12999.0,12999.0,12999.0,12999.0,12999.0
MLA1130517731,54366.0,54366.0,54366.0,55775.0,55775.0,55775.0,55775.0,55775.0,54976.0,54976.0,54976.0,54976.0,54976.0,54976.0,54976.0,54976.0,54976.0
MLA884450703,8640.0,7948.8,7948.8,7948.8,7948.8,7948.8,7948.8,7948.8,7948.8,7948.8,7948.8,8640.0,7999.0,7999.0,7999.0,7999.0,7999.0
MLA1377431271,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,86616.0,79890.4,79890.4,79890.4,79890.4,76295.0,79890.0
MLA668789151,107000.0,107000.0,107000.0,107000.0,88275.68,101651.0,96276.0,96276.0,96276.0,107000.0,-1.0,-1.0,-1.0,-1.0,-1.0,118750.0,118750.0
MLA615016904,48250.0,48250.0,48250.0,48250.0,48250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0
MLA850643431,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0
MLA1286539577,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0
MLA1363202741,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13,38190.13
MLA621233067,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0
MLA848178777,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0,89299.0
MLA617477113,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0,42450.0
MLA911171288,79900.0,79900.0,79900.0,79900.0,79900.0,75905.0,75905.0,75905.0,75905.0,75905.0,75905.0,75905.0,75905.0,75905.0,75905.0,79900.0,79900.0
MLA1392609993,64349.0,64349.0,64349.0,64349.0,71499.0,71499.0,71499.0,71499.0,71499.0,71499.0,69699.0,69699.0,69699.0,69699.0,69699.0,69699.0,71499.0
MLA617145576,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0
MLA616116585,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0
MLA612779121,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0
MLA1363644563,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21,38101.21
MLA923300127,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0
MLA611012785,42250.0,42250.0,42250.0,42250.0,44250.0,44500.0,44500.0,44500.0,44500.0,44500.0,44500.0,43500.0,43500.0,43500.0,43500.0,43500.0,43500.0
MLA614397698,40250.0,40250.0,40250.0,40250.0,40250.0,45000.0,45000.0,45000.0,44650.0,44650.0,44650.0,44650.0,44650.0,44650.0,44650.0,44650.0,44650.0
MLA617990588,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0
MLA1437420470,9511.0,9511.0,9511.0,9511.0,9511.0,9035.45,9035.45,9035.45,9035.45,9035.45,9035.45,9035.45,9035.45,9035.45,9035.45,9511.0,9511.0
MLA614532403,38250.0,38250.0,38250.0,38250.0,38250.0,38250.0,38250.0,38250.0,42250.0,42250.0,42250.0,42250.0,42250.0,42250.0,42250.0,42250.0,42250.0
MLA870286739,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0
MLA774852231,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87,9746.87
MLA624268600,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0
MLA1634169220,305760.0,305760.0,305760.0,305760.0,305760.0,290472.0,290472.0,290472.0,290472.0,290472.0,290472.0,290472.0,290472.0,290472.0,290472.0,305760.0,305760.0
MLA818339512,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94,63026.94
MLA1169904941,39771.2,39771.2,39771.2,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82,28714.82
MLA762537808,53999.0,53999.0,53999.0,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08,52536.08
MLA1518669790,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0
MLA762536670,55871.89,51165.0,51165.0,61397.69,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45,48573.45
MLA1131424018,57439.0,57439.0,57439.0,68926.54,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59063.0
MLA1408054087,191377.0,191377.0,191377.0,191377.0,191377.0,191377.0,191377.0,191377.0,206049.0,206049.0,206049.0,206049.0,206049.0,206049.0,206049.0,206049.0,206049.0
MLA1190183866,34409.0,34409.0,34409.0,34409.0,31656.0,34409.0,34409.0,34409.0,34409.0,33121.0,34322.0,34322.0,34322.0,34322.0,34322.0,36129.0,36129.0
MLA1361863962,39200.0,39200.0,39200.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,41650.0,49000.0,49000.0
MLA783933382,80000.0,80000.0,80000.0,96000.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82474.0,82262.0
