id,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05
MLA1626437968,24499.0,26299.0,23499.0,23499.0,23499.0,23499.0
MLA1586181802,33999.0,33999.0,33999.0,37999.0,37999.0,37999.0
MLA1119442535,44042.37,49990.0,49990.0,49990.0,49990.0,49990.0
MLA928514267,10924.0,14749.0,10914.26,10914.26,10914.26,10914.26
MLA1649764198,114438.8,124390.0,124390.0,124390.0,124390.0,124390.0
MLA1119468360,27600.0,27900.0,27900.0,27900.0,27900.0,27900.0
MLA884450703,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0
MLA1541044208,39889.6,39889.6,39889.6,39889.6,39889.6,39889.6
MLA928509368,10914.26,14749.0,13999.0,10919.22,10919.22,10919.22
MLA1705230618,33664.68,33664.68,33664.68,44886.24,44886.24,44886.24
MLA1550245348,98999.0,99999.0,95049.0,95049.0,95049.0,95049.0
MLA1412286625,118755.0,118755.0,118755.0,118755.0,118755.0,118755.0
MLA1381143477,38599.0,82940.0,36584.0,39999.0,41470.0,41470.0
MLA1130517731,54638.0,54638.0,54638.0,54638.0,54638.0,54638.0
MLA668789151,112812.0,118750.0,118750.0,118750.0,118750.0,118750.0
MLA620680972,105253.0,105253.0,105253.0,105253.0,105253.0,105253.0
MLA1308110044,35680.28,35680.28,35680.28,35680.28,35680.28,35680.28
MLA1411206037,10914.26,14749.0,14749.0,11799.2,11799.2,11799.2
MLA831715350,9099.0,9099.0,9099.0,9099.0,9099.0,9099.0
MLA901580052,37700.0,35700.0,35700.0,35700.0,35700.0,35700.0
MLA724439778,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0
MLA683181055,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0
MLA870286739,66613.0,66613.0,66613.0,66613.0,66613.0,66613.0
MLA613347389,48250.0,48250.0,48250.0,48250.0,48250.0,48250.0
MLA1130182118,62750.4,62750.4,59927.0,62750.0,62750.0,62750.0
MLA1287996500,41906.0,45550.0,41450.5,41450.5,41450.5,41450.5
MLA615016904,50250.0,50250.0,50250.0,50250.0,50250.0,50250.0
MLA873187440,56250.0,56250.0,56250.0,56250.0,56250.0,56250.0
MLA616116585,64250.0,64250.0,64250.0,64250.0,64250.0,64250.0
MLA1377443429,76295.0,79890.0,79890.0,79890.0,79890.0,79890.0
MLA1508183250,62100.0,62100.0,62100.0,62100.0,62100.0,62100.0
MLA1422887171,62990.0,62990.0,62990.0,62990.0,62990.0,62990.0
MLA923300127,36250.0,36250.0,36250.0,36250.0,36250.0,36250.0
MLA619432986,50370.0,50370.0,50370.0,50370.0,50370.0,50370.0
MLA1372396867,25299.0,25299.0,25299.0,25299.0,25299.0,25299.0
MLA611012785,43500.0,43500.0,43500.0,43500.0,43500.0,43500.0
MLA1383291033,83699.0,83699.0,83699.0,83699.0,83699.0,83699.0
MLA1392609993,71499.0,71499.0,71499.0,71499.0,71499.0,71499.0
MLA1274434769,58790.4,58790.4,58791.0,58791.0,58791.0,56145.0
MLA1286539577,60250.0,60250.0,60250.0,60250.0,60250.0,60250.0
MLA614532403,42250.0,42250.0,42250.0,42250.0,42250.0,42250.0
MLA1130121548,39889.6,39889.6,39889.6,39889.6,39889.6,39889.6
MLA1372846711,88349.0,88349.0,88349.0,88349.0,88349.0,88349.0
MLA1401093893,116999.0,116999.0,114999.0,119999.0,119999.0,119999.0
MLA1518682762,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
MLA1374325907,42890.4,42890.4,42890.0,42890.0,40960.0,42890.0
MLA1130134395,62750.0,62750.0,62750.0,62750.0,62750.0,62750.0
MLA850643431,63250.0,63250.0,63250.0,63250.0,63250.0,63250.0
MLA1130109566,62925.0,65890.4,65890.0,65890.0,65890.0,65890.0
MLA617990588,63330.0,63330.0,63330.0,63330.0,63330.0,63330.0
MLA1518669790,218500.0,218500.0,218500.0,218500.0,218500.0,218500.0
MLA911599649,332009.6,360880.0,360880.0,360880.0,360880.0,360880.0
MLA1361863962,49000.0,49000.0,49000.0,49000.0,49000.0,49000.0
MLA762536670,52612.0,61397.69,52612.0,52612.0,48653.75,48653.75
MLA1130121534,29990.0,29990.0,29990.0,29990.0,29990.0,29990.0
MLA617145576,44850.0,44850.0,44850.0,44850.0,44850.0,44850.0
MLA609018634,44250.0,44250.0,44250.0,44250.0,44250.0,44250.0
MLA826227380,30183.39,30183.39,30183.39,34500.0,34500.0,34500.0
MLA1634169220,281299.2,305760.0,305760.0,305760.0,305760.0,305760.0
MLA783933382,82262.0,79997.0,82262.0,82262.0,82262.0,82262.0
MLA818339494,60248.97,60248.97,60248.97,60248.97,60248.97,60248.97
MLA911625761,8189.0,8189.0,8189.0,8189.0,8189.0,8189.0
MLA1402410307,61106.0,61106.0,61106.0,61106.0,61106.0,61106.0
MLA826229633,31468.69,31468.69,31468.69,31468.69,31468.69,31468.69
MLA657237185,63479.08,68999.0,73999.0,73999.0,73999.0,73999.0
MLA1408054087,206049.0,206049.0,206049.0,206049.0,206049.0,206049.0
MLA781489159,82262.0,79997.0,82262.0,82262.0,82262.0,82262.0
MLA1329827424,26990.0,26990.0,26990.0,26990.0,26990.0,26990.0
MLA1131424018,59063.0,57437.0,59063.0,59063.0,54654.26,54654.26
MLA1122771024,11189.0,11189.0,11189.0,10070.1,10070.1,10070.1
MLA679859565,17479.08,18999.0,19999.0,19999.0,19999.0,19999.0
MLA1190183866,36129.0,36129.0,36129.0,36129.0,36129.0,36129.0
MLA616682776,43750.0,44000.0,44000.0,44000.0,44000.0,44000.0
MLA1641792494,29689.0,29689.0,29689.0,29689.0,29689.0,29689.0
MLA624268600,62250.0,62250.0,62250.0,62250.0,62250.0,62250.0
MLA818338082,41087.53,41087.53,41087.53,41087.53,41087.53,41087.53
MLA866280994,28600.0,28600.0,28600.0,28600.0,28600.0,28600.0
MLA1675186148,24973.0,24973.0,25500.0,25500.0,25500.0,25500.0
MLA1629446660,320924.9,320924.9,320924.9,320924.9,320924.9,320924.9
MLA824172985,49797.79,49797.79,49797.79,49797.79,49797.79,49797.79
MLA624669374,14999.0,14999.0,14999.0,14999.0,14999.0,14999.0
MLA1144255474,45250.0,45250.0,45250.0,45250.0,45250.0,45250.0
MLA1362624801,22326.0,22326.0,24326.0,24326.0,24326.0,24326.0
MLA1644165982,8316.4,8316.4,8316.4,8609.92,8609.92,8609.92
MLA1143322887,5221.0,5221.0,5221.0,5221.0,5221.0,5221.0
MLA656746169,18999.0,18999.0,19999.0,19999.0,19999.0,19999.0
MLA819797800,88803.0,88803.0,88803.0,88803.0,88803.0,88803.0
MLA1491604404,52000.0,52000.0,54000.0,54000.0,54000.0,54000.0
MLA1388646565,17991.0,17991.0,19555.0,19555.0,19555.0,19555.0
MLA917791166,17815.0,17389.0,17389.0,17389.0,17389.0,17389.0
MLA768246988,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0
MLA1146650074,20874.0,20874.0,20874.0,20874.0,20874.0,20874.0
MLA786420366,45507.8,49465.0,49465.0,44518.5,44518.5,44518.5
MLA1518180630,8316.4,8316.4,8463.16,8609.92,8609.92,8609.92
MLA1574802418,22326.0,22326.0,25326.0,25326.0,25326.0,25326.0
MLA917789892,21912.0,22039.0,22039.0,22039.0,22039.0,22039.0
MLA925034136,15883.91,18324.0,18324.0,16491.6,16491.6,16491.6
MLA1384166305,2728.0,2728.0,2728.0,2728.0,2728.0,2728.0
MLA611371516,51000.0,51000.0,51000.0,51000.0,51000.0,51000.0
MLA785147304,46455.77,53676.0,53676.0,48308.4,48308.4,48308.4
MLA1722639910,113049.05,113049.05,118654.05,118654.05,118654.05,118654.05
MLA928559092,6999.0,6999.0,6999.0,6999.0,6999.0,-1.0
MLA1393699809,37586.0,37586.0,37586.0,37586.0,37586.0,37586.0
MLA1388839089,17991.0,17991.0,19555.0,19555.0,19555.0,19555.0
