category_id,category_name,parent_id,parent_name
MLA86100,Alarmas para Motos,MLA5725,Accesorios para Vehículos
MLA86379,Alarmas para Motos,MLA5725,Accesorios para Vehículos
MLA434708,Alforjas,MLA5725,Accesorios para Vehículos
MLA86351,Baúles Porta Cascos,MLA5725,Accesorios para Vehículos
MLA4712,Cascos,MLA5725,Accesorios para Vehículos
MLA86350,Baúles Laterales,MLA5725,Accesorios para Vehículos
MLA86380,Defensas,MLA5725,Accesorios para Vehículos
MLA379647,Intercomunicadores,MLA5725,Accesorios para Vehículos
MLA414014,Cubre Manos,MLA5725,Accesorios para Vehículos
MLA86352,Portaequipajes,MLA5725,Accesorios para Vehículos
MLA61160,Botas,MLA5725,Accesorios para Vehículos
MLA379646,Baúles para Delivery,MLA5725,Accesorios para Vehículos
MLA417271,Antiparras,MLA5725,Accesorios para Vehículos
MLA437250,Trabas de Discos,MLA5725,Accesorios para Vehículos
MLA411538,Conjuntos,MLA5725,Accesorios para Vehículos
MLA433782,De Seguridad,MLA5725,Accesorios para Vehículos
MLA433784,De Seguridad,MLA5725,Accesorios para Vehículos
MLA437375,Mochilas y Bolsos,MLA5725,Accesorios para Vehículos
MLA417571,Pads para Manubrios,MLA5725,Accesorios para Vehículos
MLA420073,Cadenas de Seguridad,MLA5725,Accesorios para Vehículos
MLA412452,Visores para Cascos,MLA5725,Accesorios para Vehículos
MLA413539,Redes de Pulpo,MLA5725,Accesorios para Vehículos
MLA22296,Parabrisas,MLA5725,Accesorios para Vehículos
MLA437254,Soportes de Parabrisas,MLA5725,Accesorios para Vehículos
MLA61249,Tableros y Velocímetros,MLA5725,Accesorios para Vehículos
MLA443874,Sliders,MLA5725,Accesorios para Vehículos
MLA437255,Straps,MLA5725,Accesorios para Vehículos
MLA413717,Cornamusas,MLA5725,Accesorios para Vehículos
MLA413704,Cabos,MLA5725,Accesorios para Vehículos
MLA413705,Anclas,MLA5725,Accesorios para Vehículos
MLA413653,Bombas Automáticas,MLA5725,Accesorios para Vehículos
MLA413670,Lonas y Cobertores,MLA5725,Accesorios para Vehículos
MLA430149,Toldos,MLA5725,Accesorios para Vehículos
MLA45905,Sensores de Estacionamiento,MLA5725,Accesorios para Vehículos
MLA413656,Bombas Manuales,MLA5725,Accesorios para Vehículos
MLA456058,Otros,MLA5725,Accesorios para Vehículos
MLA72284,Fundas Cobertoras,MLA5725,Accesorios para Vehículos
MLA455952,Inodoros,MLA5725,Accesorios para Vehículos
MLA456059,Luces de Proa,MLA5725,Accesorios para Vehículos
MLA403343,Emuladores de luces,MLA5725,Accesorios para Vehículos
MLA413651,Defensas,MLA5725,Accesorios para Vehículos
MLA456017,Resinas,MLA5725,Accesorios para Vehículos
MLA456060,Luces de Popa,MLA5725,Accesorios para Vehículos
MLA60607,Antirrobos de Ruedas,MLA5725,Accesorios para Vehículos
MLA403345,Fundas Cubre Ruedas,MLA5725,Accesorios para Vehículos
MLA86347,Antirrobos de Ruedas,MLA5725,Accesorios para Vehículos
MLA5824,Handies,MLA1051,Celulares y Teléfonos
MLA412463,Cubre Volantes,MLA5725,Accesorios para Vehículos
MLA407376,Cubre Asiento para Mascotas,MLA5725,Accesorios para Vehículos
MLA403333,Barreros,MLA5725,Accesorios para Vehículos
MLA429491,Bolsas Multiuso,MLA5725,Accesorios para Vehículos
MLA72295,Fenders,MLA5725,Accesorios para Vehículos
